dt,India,Japan,Netherlands,World
1984-01-01,-0.195,-1.473,1.428,0.19
1984-02-01,-1.195,-2.32,-0.141,-0.25
1984-03-01,0.707,-2.374,-0.903,0.294
1984-04-01,0.202,-1.3,-0.362,0.351
1984-05-01,0.897,-0.799,-1.305,0.392
1984-06-01,-0.274,1.131,-1.312,0.039
1984-07-01,-0.355,0.911,-0.638,0.117
1984-08-01,-0.217,0.979,1.205,0.2
1984-09-01,-0.44,-0.218,-0.696,-0.103
1984-10-01,-0.166,-0.704,1.212,0.266
1984-11-01,-0.611,0.063,1.957,0.014
1984-12-01,0.38,-0.457,0.83,-0.906
1985-01-01,0.459,-1.653,-4.878,0.233
1985-02-01,0.093,0.71,-2.866,-0.577
1985-03-01,1.395,0.447,-0.711,-0.002
1985-04-01,0.322,0.311,0.578,0.238
1985-05-01,0.404,0.606,1.233,0.535
1985-06-01,-0.269,-0.543,-1.555,0.091
1985-07-01,-0.482,0.28,0.433,-0.063
1985-08-01,0.018,1.311,-0.537,0.262
1985-09-01,0.151,0.506,0.251,-0.061
1985-10-01,-0.706,0.253,0.278,0.004
1985-11-01,-0.129,-0.321,-3.249,-0.166
1985-12-01,0.798,-1.449,2.562,0.163
1986-01-01,0.067,-1.338,0.278,0.891
1986-02-01,-0.242,-1.905,-6.17,0.164
1986-03-01,0.173,-0.513,-0.495,0.263
1986-04-01,0.045,0.096,-1.489,0.512
1986-05-01,-0.46,-0.347,1.507,0.504
1986-06-01,0.097,-0.157,0.836,0.275
1986-07-01,-0.129,-1.076,0.403,0.122
1986-08-01,-0.063,0.222,-0.586,0.244
1986-09-01,0.329,0.303,-2.388,0.094
1986-10-01,0.131,-1.418,1.151,-0.045
1986-11-01,0.695,-0.686,2.036,-0.331
1986-12-01,0.064,0.571,1.361,0.156
1987-01-01,0.539,0.303,-4.857,0.529
1987-02-01,0.538,0.537,-0.414,1.206
1987-03-01,0.121,0.441,-3.036,-0.069
1987-04-01,0.32,-0.156,2.281,0.291
1987-05-01,-0.804,0.224,-1.92,0.372
1987-06-01,0.952,0.393,-1.254,0.351
1987-07-01,1.172,0.428,0.183,0.552
1987-08-01,0.9,-0.122,-0.451,0.216
1987-09-01,1.127,-0.192,0.881,0.515
1987-10-01,0.603,1.082,0.481,0.048
1987-11-01,0.583,0.344,0.723,0.527
1987-12-01,0.33,0.232,1.051,1.073
1988-01-01,1.12,1.607,3.957,0.895
1988-02-01,1.221,-0.792,1.943,0.421
1988-03-01,0.388,-0.177,-0.078,0.673
1988-04-01,0.547,-0.316,0.484,0.721
1988-05-01,1.112,-0.236,2.202,0.545
1988-06-01,0.165,0.45,-0.296,0.621
1988-07-01,-0.189,-1.184,-0.159,0.57
1988-08-01,0.146,0.27,0.32,0.369
1988-09-01,0.547,0.245,-0.109,0.411
1988-10-01,0.047,-0.301,0.518,0.264
1988-11-01,-0.204,-1.653,-0.31,0.029
1988-12-01,0.579,-0.071,2.977,0.489
1989-01-01,-0.525,2.44,2.831,0.217
1989-02-01,-0.348,1.893,2.888,0.201
1989-03-01,-0.495,1.098,3.36,0.504
1989-04-01,-0.235,0.731,-0.764,0.596
1989-05-01,0.382,-0.307,1.999,0.235
1989-06-01,-0.831,-0.716,0.311,0.237
1989-07-01,-0.08,-0.206,1.279,0.328
1989-08-01,-0.097,0.277,0.807,0.369
1989-09-01,0.098,0.661,1.361,0.284
1989-10-01,0.199,-0.185,1.857,0.412
1989-11-01,0.36,0.987,-0.459,0.035
1989-12-01,-0.21,0.51,1.603,0.485
1990-01-01,1.402,-0.051,3.378,0.964
1990-02-01,0.137,2.929,5.349,0.76
1990-03-01,-1.051,1.698,3.404,1.312
1990-04-01,-0.216,0.24,0.499,0.581
1990-05-01,-1.074,0.376,1.695,0.391
1990-06-01,-0.384,1.46,-0.011,0.571
1990-07-01,-0.437,0.796,0.037,0.214
1990-08-01,0.148,1.258,2.038,0.416
1990-09-01,-0.088,1.141,-1.272,0.386
1990-10-01,-0.503,1.003,1.713,0.514
1990-11-01,0.529,2.14,0.328,1.048
1990-12-01,0.365,1.569,0.341,0.506
1991-01-01,-0.131,1.371,1.577,0.563
1991-02-01,0.657,0.053,-2.751,0.63
1991-03-01,0.458,1.286,3.441,0.649
1991-04-01,-0.294,1.037,0.225,0.617
1991-05-01,0.419,0.371,-2.008,0.148
1991-06-01,-0.275,1.839,-2.127,0.56
1991-07-01,0.601,0.365,2.194,0.423
1991-08-01,-0.133,-0.645,1.507,0.405
